"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PG_002861_T.1",198.806047227497,0.589012494147318,0.148309587559023,25.4934781577313,4.00277561484035e-05,0.0003087581707499
"PG_002866_T.1",263.651784042724,0.908691808026042,0.349872077925806,17.2807940953658,0.00170458303502981,0.00769375093714964
"PG_002870_T.1",139.152785938139,-1.14801614000518,0.276455083905275,26.7398976072891,2.2436764632659e-05,0.000186142455672325
"PG_002875_T.1",177.692891983248,2.24781313960037,0.486392636328607,37.2023190657583,1.63644276841853e-07,2.54168015264122e-06
"PG_002878_T.1",504.227621253966,2.18132381072489,0.397431192289718,46.7969648222604,1.68085797072822e-09,4.64830878293277e-08
"PG_002879_T.1",66.0713695164367,0.835934907547803,0.298645610823256,25.869652954899,3.3618458931793e-05,0.000264976863746714
"PG_002881_T.1",192.807618944554,1.4967543494759,0.309043148530099,43.2561309960364,9.15583435911967e-09,2.04333048889646e-07
"PG_002888_T.1",677.638404041215,-0.989127812902773,0.43759167813077,23.2673579810429,0.000111966279628347,0.00075147155593933
"PG_002892_T.1",255.639323452087,0.662364722987899,0.175977623031903,24.7942003976334,5.53373805571386e-05,0.000409494190640443
"PG_002894_T.1",101.506966110294,-0.116057822194072,0.390942248172367,14.7197544146081,0.00531919411930413,0.0201399314456631
"PG_002899_T.1",273.555822841655,1.20239033340542,0.3592515356479,30.6233849474577,3.65355353263479e-06,3.83958570130552e-05
"PG_002904_T.1",257.39700508079,1.00442435504715,0.213141376023522,37.7944935186978,1.2354438027321e-07,1.98170794521697e-06
"PG_002905_T.1",251.50310420486,-0.520508874031323,0.267162728346981,12.3300588381931,0.0150584309009914,0.047294482169368
"PG_002908_T.1",221.32443116538,0.0923151328891568,0.186357387963511,15.7342583369117,0.00339728708907769,0.0137925689370924
"PG_002917_T.1",74.0427718395684,0.706520128297814,0.236404076060434,12.9515613688829,0.0115149149560687,0.0380190371794173
"PG_002919_T.1",26.9634237861649,-1.27945751577483,0.332099244159747,18.289918545877,0.00108304115131462,0.00527767788266993
"PG_002920_T.1",59.3687270178015,-1.35634114372439,0.298683398670611,31.4255918925831,2.50650477313964e-06,2.75772695242206e-05
"PG_002930_T.1",13.5682724246055,-1.37082815300462,0.467742758565332,17.9574895243709,0.00125793039124984,0.00596479112357002
"PG_002932_T.1",224.770052477532,0.646694955265352,0.179803070038658,27.8592324310848,1.33196614490686e-05,0.000118553414915077
"PG_002936_T.1",104.075136574808,0.981784527841831,0.377858915496878,16.5349696782678,0.0023792432143929,0.010206485229737
"PG_002941_T.1",116.022668981692,1.34403676986635,0.340162147559581,16.3110324841717,0.00262897911733543,0.0111042206075039
"PG_002952_T.1",113.521281500355,1.02108469377019,0.232872160346583,31.9760680197699,1.93476478803678e-06,2.20037951609464e-05
"PG_002955_T.1",739.273825212452,0.562863242912972,0.146425796519419,54.9600659368679,3.3121790585821e-11,1.45813608985767e-09
"PG_002960_T.1",400.313238545862,-1.05939449678104,0.291919532221465,26.4608358814997,2.55458378003088e-05,0.000208453542572554
"PG_002967_T.1",94.1785002534637,10.7052293846639,1.51605215669502,63.9733648174238,4.23349425409033e-13,3.14171795568382e-11
"PG_002968_T.1",2.5343825845331,3.49898382564436,1.53636355332371,16.8636770324826,0.00205444924553669,0.00901384267473909
"PG_002969_T.1",148.808599942043,-5.68010688683758,0.775775593641359,72.4421362116342,6.9211589711719e-15,8.28722885888619e-13
"PG_002970_T.1",130.425288521993,-1.78005125800838,0.533716688855315,26.6634112935033,2.32493964431213e-05,0.000192411549092753
"PG_002974_T.1",78.6685267942423,0.814714627851932,0.302540981074486,15.4525855680146,0.00384896053976324,0.0152755055930472
"PG_002975_T.1",337.020792084358,-1.17638704202419,0.374116064404271,12.3933413891331,0.0146538500057345,0.0462258874526934
